Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;21.02.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Turkiye;TUR;Tariff rate, most favored nation, simple mean, manufactured products (%);TM.TAX.MANF.SM.FN.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,53;;8,65;6,05;5,88;5,62;6,64;5;4,75;4,64;4,5;4,29;4,29;4,31;4,26;4,3;4,37;4,35;4,29;;4,36;;4,39;4,39;4,42;4,41;4,42;4,44;;
Turkiye;TUR;Binding coverage, manufactured products (%);TM.TAX.MANF.BC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,51;46,97;46,97;46,97;46,97;46,97;46,97;46,14;46,14;46,14;46,14;46,14;47,26;47,26;47,26;47,26;47,26;;47,54;;47,57;47,57;47,18;47,18;47,18;47,18;;
Turkiye;TUR;International tourism, expenditures (current US$);ST.INT.XPND.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3563000000;3517000000;4254000000;4509000000;5061000000;5817000000;5372000000;4585000000;5017000000;5331000000;5635000000;5698000000;5865000000;6068000000;5354000000;1639000000;;
Turkiye;TUR;International tourism, receipts for passenger transport items (current US$);ST.INT.TRNR.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1569000000;1680000000;2232000000;3081000000;3351000000;3733000000;5248000000;6221000000;9987000000;10476000000;9032000000;7762000000;9515000000;11571000000;11586000000;3551000000;;
Turkiye;TUR;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7727000;8614000;9689000;9753000;7487000;10428000;11619000;13256000;14030000;17517000;21125000;19820000;27215000;31138000;31760000;32997000;36769000;37715000;39861000;41627000;41114000;30907000;37970000;46113000;51747000;15971000;;
Turkiye;TUR;Urban population growth (annual %);SP.URB.GROW;;4,395564619;4,370188244;4,338763992;4,222913736;4,068828754;4,599942364;4,910119202;4,825276871;4,670585042;4,534123291;4,120662135;3,919773437;3,882146453;3,803469816;3,677693065;3,261622767;3,15611421;3,157033115;3,077557913;3,041638329;5,172439596;6,052406016;6,104847041;5,936020238;5,717517042;4,895635951;4,460836889;4,352856968;4,242007283;4,12063306;3,115921597;2,657139338;2,633449479;2,627127033;2,554085519;2,50224344;2,45428697;2,388145359;2,317313588;2,26122886;2,404867541;2,364464814;2,270137601;2,294218097;2,258258008;2,191743452;1,673849985;2,12787623;2,223816678;2,347416784;2,279157897;2,072623986;2,055325341;2,099050847;2,062196295;2,053404144;1,982343734;2,019884901;2,075703123;1,596480824;1,518277513;1,574466768
Turkiye;TUR;Completeness of death registration with cause-of-death information (%);SP.REG.DTHS.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;43,1;;;;;47,3;;;;;71,4;;;;;78;;;;92;;;;;;
Turkiye;TUR;Completeness of birth registration, male (%);SP.REG.BRTH.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,2;;;;
Turkiye;TUR;Population, female (% of total population);SP.POP.TOTL.FE.ZS;49,04104834;49,05169711;49,08000707;49,10369585;49,12543669;49,14845912;49,19138023;49,24064592;49,31632338;49,38167138;49,38712174;49,29515456;49,13590352;48,99693743;48,86178828;48,75017612;48,79806045;48,94845451;49,07003196;49,18981605;49,26993582;49,30995209;49,34565928;49,37908421;49,41067747;49,44030761;49,46743765;49,49217712;49,5155281;49,53761951;49,55850752;49,57846519;49,59822502;49,61792452;49,63679882;49,65500664;49,67111702;49,68408921;49,69404522;49,70008126;49,70486191;49,71056837;49,71707186;49,72500546;49,73337272;49,74171278;49,74975838;49,75714595;49,76429292;49,77137551;49,77797973;49,78516149;49,792928;49,79958438;49,80552238;49,81231993;49,82130945;49,83061604;49,83928497;49,84893932;49,86300658;49,8795311;49,89242188
Turkiye;TUR;Researchers in R&D (per million people);SP.POP.SCIE.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302,4706726;311,0039673;306,4370422;319,8822632;362,6835022;351,521698;365,989624;491,7537231;503,2219849;573,4577637;616,8935547;709,0942383;744,9307251;805,0220337;884,9778442;978,5767822;1099,945068;1173,668579;1160,493896;1205,080688;1246,893066;1369,345947;1530,904663;1629,732422;1786,51709;1999,53418;
